year,male,female,undetermined
2000,0.76,0.24,0
2001,0.75,0.24,0.01
2002,0.76,0.24,0
2003,0.8,0.2,0
2004,0.81,0.19,0.01
2005,0.8,0.2,0
2006,0.82,0.18,0
2007,0.77,0.23,0
2008,0.8,0.2,0
2009,0.85,0.14,0.01
2010,0.87,0.13,0
2011,0.88,0.11,0.01
2012,0.87,0.13,0
2013,0.9,0.1,0
2014,0.91,0.09,0.01
2015,0.88,0.09,0.03
2016,0.93,0.07,0.01
2017,0.98,0.02,0
2018,0.9,0.09,0.01
2019,0.88,0.08,0.03
2020,0.82,0.09,0.09
2021,0.76,0.14,0.09
2022,0.78,0.13,0.09
2023,0.74,0.19,0.08
2024,0.68,0.2,0.11
2025,0.7,0.13,0.17
2026,0.56,0.21,0.23
